threshold,precision,recall
0.00019911496604459872,0.22281639928698752,1.0
0.00021773839546237076,0.22341376228775692,1.0
0.00023394434697961744,0.22381378692927484,1.0
0.00034820141706787597,0.22401433691756273,1.0
0.00044792973725180405,0.2242152466367713,1.0
0.00046333844836395365,0.22461814914645103,1.0
0.0005207516346069297,0.22482014388489208,1.0
0.001043874488860946,0.22502250225022502,1.0
0.0011125315048855205,0.22522522522522523,1.0
0.0011709258298702927,0.22789425706472197,1.0
0.0011958807418752783,0.228310502283105,1.0
0.0013098456541342784,0.22851919561243145,1.0
0.001432436139803845,0.22893772893772893,1.0
0.0016380124406889208,0.2502502502502503,1.0
0.001915953979019652,0.2553626149131767,1.0
0.0020578373232266905,0.2556237218813906,1.0
0.002250418527296086,0.26624068157614483,1.0
0.002377125669952308,0.26680896478121663,1.0
0.002418810169240708,0.2670940170940171,1.0
0.0024223156632951592,0.26737967914438504,1.0
0.0027419023013381416,0.2676659528907923,1.0
0.002990420743140012,0.27262813522355506,1.0
0.0032884794237457954,0.28376844494892167,1.0
0.0033115747344930617,0.29797377830750893,1.0
0.0036525314403302064,0.3004807692307692,1.0
0.0038971152703934585,0.31133250311332505,1.0
0.0039020010279434683,0.3125,1.0
0.004107222650388609,0.31289111389236546,1.0
0.004266159010141089,0.31525851197982346,1.0
0.004691216190530464,0.31928480204342274,1.0
0.004876431497701114,0.3259452411994785,1.0
0.005468809660881533,0.3263707571801567,1.0
0.00553705702128286,0.34199726402188785,1.0
0.006037386809124787,0.343878954607978,1.0
0.006121178736282234,0.34674063800277394,1.0
0.006555401544398445,0.35014005602240894,1.0
0.0066979605775734875,0.37257824143070045,1.0
0.007369141576009058,0.373134328358209,1.0
0.008144952744527036,0.3748125937031484,1.0
0.008180844749921031,0.3770739064856712,1.0
0.008282654766060651,0.397456279809221,1.0
0.008878828663130589,0.39872408293460926,1.0
0.009758047526236435,0.4032258064516129,1.0
0.009826131305712027,0.4045307443365696,1.0
0.01083053226819521,0.4051863857374392,1.0
0.010878128905313372,0.41186161449752884,1.0
0.011013133693322777,0.43478260869565216,1.0
0.012167875730377954,0.43859649122807015,1.0
0.013186715020887179,0.44014084507042256,1.0
0.013882013033363737,0.4472271914132379,1.0
0.014158622678948104,0.44964028776978415,1.0
0.015076835674852084,0.45045045045045046,1.0
0.016158296924174635,0.5285412262156448,1.0
0.016228923198695146,0.5353319057815846,1.0
0.01635774837779394,0.5555555555555556,1.0
0.016429231876417375,0.5580357142857143,1.0
0.017759005090084167,0.5630630630630631,1.0
0.01781831935899434,0.5620767494356659,0.996
0.0193274964238062,0.564625850340136,0.996
0.021692053452997996,0.5777262180974478,0.996
0.021786331604003603,0.5804195804195804,0.996
0.02404319682957265,0.5831381733021077,0.996
0.024337568654601294,0.6,0.996
0.030067367617014777,0.6029055690072639,0.996
0.031802716118314305,0.6384615384615384,0.996
0.03218895788201055,0.6518324607329843,0.996
0.038379669147668695,0.6535433070866141,0.996
0.03965944331354383,0.6622340425531915,0.996
0.0401186236898493,0.6821917808219178,0.996
0.04372084003710638,0.6840659340659341,0.996
0.04510337557407853,0.7280701754385965,0.996
0.046375880898415635,0.7302052785923754,0.996
0.046957387938341165,0.7345132743362832,0.996
0.05603813177732317,0.7432835820895523,0.996
0.06045323986875391,0.7638036809815951,0.996
0.06533962389706112,0.7630769230769231,0.992
0.08474103869339683,0.7678018575851393,0.992
0.08526249213976861,0.7774294670846394,0.992
0.0907261154293257,0.779874213836478,0.992
0.1266876412357485,0.7823343848580442,0.992
0.14230744703835677,0.7898089171974523,0.992
0.15712787045954196,0.792332268370607,0.992
0.15878655530172742,0.7948717948717948,0.992
0.19189261600152624,0.797427652733119,0.992
0.20428216711433603,0.8078175895765473,0.992
0.23272820862105004,0.8104575163398693,0.992
0.24047502731079906,0.8131147540983606,0.992
0.24276014143432834,0.8266666666666667,0.992
0.25017866620113566,0.8322147651006712,0.992
0.2704581989483659,0.835016835016835,0.992
0.2707064488684434,0.8378378378378378,0.992
0.2945767758628794,0.8435374149659864,0.992
0.3058872624992384,0.8464163822525598,0.992
0.32199648428945465,0.8857142857142857,0.992
0.32472506125297146,0.8888888888888888,0.992
0.34165020466557233,0.8953068592057761,0.992
0.3492941055853508,0.9018181818181819,0.992
0.35736160974948195,0.9051094890510949,0.992
0.400228660054395,0.9084249084249084,0.992
0.45478166133467196,0.915129151291513,0.992
